1,Heping,Baratã,9/18/2017,true,43,86
2,Ichinoseki,Sukasari,12/25/2017,true,21,50
3,Las Higueras,Richmond,3/18/2018,true,21,88
4,Novospasskoye,Borovo,1/8/2018,true,1,63
5,Sosnówka,Pakxong,10/11/2017,true,26,77
6,Río Cauto,Santa Teresita,1/4/2018,false,5,15
7,Wantou,Tamansari,10/13/2017,false,1,92
8,Täby,Kerep Wetan,7/29/2018,true,44,81
9,Andahuaylillas,Sendai-shi,10/15/2017,true,36,26
10,Firenze,Frösön,3/30/2018,false,34,56
11,João Câmara,Pohbango,1/17/2018,false,27,12
12,El Cardo,Gandusari,7/12/2018,true,20,25
13,Lenchwe Le Tau,Beizheng,8/19/2017,false,31,31
14,Caieiras,Kapuan,8/13/2017,false,49,77
15,Mekarsari,Pasirdalem,12/31/2017,false,44,81
16,Xindeng,Shadui,12/8/2017,false,10,36
17,Candoso,Gimbi,7/17/2018,true,8,53
18,Wenheng,Furudate,5/3/2018,false,3,71
19,Jindong,Radvanice,5/12/2018,true,15,98
20,Pasongsongan,Trelleborg,1/10/2018,true,31,3
21,Shangsanji,Menggala,7/9/2018,true,8,75
22,Hrvace,Campo de la Cruz,10/9/2017,false,46,84
23,Ubatã,Burgau,10/5/2017,true,11,1
24,Rasskazovo,Vallentuna,9/14/2017,true,26,32
25,Santa Lucia,Sidomukti,10/12/2017,true,37,71
26,Baler Baleagung,Guihuaquan,2/1/2018,true,45,15
27,Zengguang,Jiuxian,3/6/2018,true,3,43
28,Baiguan,La Garenne-Colombes,10/8/2017,true,3,71
29,Alcala,Shanmei,1/14/2018,false,26,58
30,Balboa,Rogów,9/24/2017,true,9,20
31,Olyka,Itajuípe,2/7/2018,true,20,32
32,Abangay,Chekhov,11/28/2017,true,50,99
33,Sarvaš,Zibu,11/17/2017,false,36,40
34,Wufeng,Blizne,12/24/2017,false,9,69
35,Newark,Vysokogornyy,7/14/2018,false,36,41
